aseg_Brain-Stem_groupmean,aseg_CC_Anterior_groupmean,aseg_CC_Mid_Anterior_groupmean,aseg_CC_Central_groupmean,aseg_CC_Mid_Posterior_groupmean,aseg_CC_Posterior_groupmean,aseg_Optic-Chiasm_groupmean,aseg_Brain-Stem_groupmedian,aseg_CC_Anterior_groupmedian,aseg_CC_Mid_Anterior_groupmedian,aseg_CC_Central_groupmedian,aseg_CC_Mid_Posterior_groupmedian,aseg_CC_Posterior_groupmedian,aseg_Optic-Chiasm_groupmedian,aseg_Brain-Stem_groupstd,aseg_CC_Anterior_groupstd,aseg_CC_Mid_Anterior_groupstd,aseg_CC_Central_groupstd,aseg_CC_Mid_Posterior_groupstd,aseg_CC_Posterior_groupstd,aseg_Optic-Chiasm_groupstd
20047.225,875.3816667,669.5416667,706.5583333,544.5883333,980.06,183.1666667,19891.6,868.35,657.9,701.35,529.6,970.8,185.4,2100.867239,129.4782208,153.9671088,148.7360913,122.8071812,158.7111001,40.66189932
20358.97288,871.4728814,668.6135593,671.6338983,528.1813559,995.2847458,184.9813559,20725.8,835,662.5,640.6,521.7,987.9,180.1,1797.562627,144.7946153,181.0688938,210.7135305,119.7207231,150.4115593,44.65952219
19762.26949,869.7542373,699.8355932,714.0576271,568.6864407,1017.937288,173.1694915,19510.3,857.8,702.2,737.5,568.5,1009.8,170.4,3082.096571,134.471869,182.0586347,170.3163458,110.72678,155.3838916,51.74161686
19874.49024,841.6207317,664.4378049,688.9829268,560.3073171,988.5963415,193.7597561,19878.8,826.4,626.4,658.3,519.3,964.8,189.45,2105.890067,157.6935415,201.0906108,206.179786,153.6674064,207.6385876,47.67082049
20107.23061,871.7142857,700.1857143,718.3428571,540.4102041,999.5979592,176.6489796,20370.4,865.8,677,718.5,548.5,993.9,182.9,2282.322756,134.0218344,142.3103241,154.40994,91.21003519,164.8896733,55.09110304
20385.35128,935.6717949,743.5923077,724.4794872,583.0692308,1039.612821,186.1461538,19697.3,943.4,709.6,715.5,574.2,1066.1,176.8,2062.183353,162.5782807,203.5527442,218.8562724,145.42538,139.4733783,48.66023366
19835.56404,851.252809,651.1573034,669.7382022,518.5752809,964.1662921,173.3359551,19861.1,853.9,638.2,660.9,528.2,956.1,174.5,2265.086306,129.4717818,159.0254903,163.8390046,106.0947532,141.7301789,41.76585504
20055.6383,849.4191489,705.8808511,740.5191489,551.4382979,958.9595745,188.4212766,19735.4,849.8,668.7,725,527,968.2,189.2,2458.815123,138.9034066,187.675097,202.825206,127.944736,110.5104533,42.28219348
19985.24138,883.4724138,661.7931034,670.3517241,582.7931034,1030.913793,201.1172414,20347,886.8,650.3,670.5,532.9,1030.8,201.7,1923.117658,133.9039312,170.248222,185.5904874,169.3603574,143.8942611,44.38966312
19835.56404,851.252809,651.1573034,669.7382022,518.5752809,964.1662921,173.3359551,19861.1,853.9,638.2,660.9,528.2,956.1,174.5,2265.086306,129.4717818,159.0254903,163.8390046,106.0947532,141.7301789,41.76585504
